wavelength,flux
6167.130658,9.263817E-15
6170.084743,9.231876E-15
6173.038829,9.257637E-15
6175.992914,9.265452E-15
6178.947,9.265504E-15
6181.901085,9.289336E-15
6184.855171,9.298433E-15
6187.809257,9.26992e-15
6190.763342,9.243496E-15
6193.717428,9.253584E-15
6196.671513,9.295511E-15
6199.625599,9.280202E-15
6202.579684,9.227877E-15
6205.53377,9.237795E-15
6208.487855,9.26002e-15
6211.441941,9.251851E-15
6214.396026,9.22303e-15
6217.350112,9.218798E-15
6220.304197,9.216948E-15
6223.258283,9.192052E-15
6226.212368,9.205716E-15
6229.166454,9.234187E-15
6232.120539,9.230883E-15
6235.074625,9.211955E-15
6238.02871,9.184575E-15
6240.982796,9.181867E-15
6243.936881,9.19059e-15
